 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10
      1,         0.0986,         0.0014,         0.0032,         0.0985,         0.0000,         0.0001,         0.0027,         2.1469,         3.7860,         5.3602,         6.2450,         7.1014,         7.1069,         7.6355,         7.6377,         7.6386
      2,         0.0038,         0.0026,         0.0000,         0.0036,         0.0000,         0.0001,         0.0027,         2.1120,         3.8218,         5.3416,         6.2315,         7.0949,         7.1109,         7.6315,         7.6377,         7.6404
      3,         0.0037,         0.0025,         0.0000,         0.0036,         0.0000,         0.0001,         0.0027,         2.0996,         3.8570,         5.3250,         6.2181,         7.0885,         7.1147,         7.6276,         7.6377,         7.6422
      4,         0.0037,         0.0023,         0.0000,         0.0036,         0.0000,         0.0001,         0.0027,         2.0891,         3.8888,         5.3099,         6.2048,         7.0820,         7.1184,         7.6238,         7.6377,         7.6439
      5,         0.0037,         0.0001,         0.0000,         0.0036,         0.0000,         0.0001,         0.0027,         2.0800,         3.8936,         5.2961,         6.1916,         7.0756,         7.1219,         7.6201,         7.6378,         7.6455
      6,         0.0037,         0.0001,         0.0000,         0.0036,         0.0000,         0.0001,         0.0027,         2.0710,         3.8812,         5.2824,         6.1783,         7.0693,         7.1253,         7.6165,         7.6380,         7.6471
      7,         0.0037,         0.0001,         0.0000,         0.0036,         0.0000,         0.0001,         0.0026,         2.0621,         3.8687,         5.2686,         6.1652,         7.0629,         7.1286,         7.6129,         7.6382,         7.6485
      8,         0.0037,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0535,         3.8564,         5.2550,         6.1521,         7.0566,         7.1318,         7.6094,         7.6385,         7.6498
      9,         0.0037,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0452,         3.8442,         5.2415,         6.1392,         7.0503,         7.1348,         7.6060,         7.6389,         7.6510
     10,         0.0036,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0372,         3.8323,         5.2281,         6.1264,         7.0440,         7.1378,         7.6027,         7.6394,         7.6521
     11,         0.0036,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0292,         3.8203,         5.2147,         6.1137,         7.0377,         7.1406,         7.5995,         7.6399,         7.6531
     12,         0.0036,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0213,         3.8083,         5.2014,         6.1010,         7.0315,         7.1432,         7.5964,         7.6405,         7.6540
     13,         0.0036,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0135,         3.7964,         5.1881,         6.0884,         7.0253,         7.1458,         7.5934,         7.6412,         7.6547
     14,         0.0036,         0.0001,         0.0000,         0.0035,         0.0000,         0.0001,         0.0026,         2.0057,         3.7844,         5.1747,         6.0758,         7.0191,         7.1483,         7.5904,         7.6419,         7.6554
     15,         0.0036,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0026,         1.9979,         3.7724,         5.1613,         6.0632,         7.0128,         7.1507,         7.5876,         7.6426,         7.6560
     16,         0.0036,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0026,         1.9904,         3.7606,         5.1481,         6.0508,         7.0067,         7.1529,         7.5849,         7.6433,         7.6565
     17,         0.0035,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0026,         1.9831,         3.7490,         5.1351,         6.0384,         7.0005,         7.1551,         7.5823,         7.6440,         7.6570
     18,         0.0035,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0026,         1.9758,         3.7374,         5.1220,         6.0261,         6.9944,         7.1571,         7.5798,         7.6447,         7.6574
     19,         0.0035,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0025,         1.9687,         3.7259,         5.1090,         6.0139,         6.9882,         7.1591,         7.5775,         7.6454,         7.6577
     20,         0.0035,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0025,         1.9617,         3.7145,         5.0961,         6.0018,         6.9821,         7.1610,         7.5752,         7.6460,         7.6580
     21,         0.0035,         0.0001,         0.0000,         0.0034,         0.0000,         0.0001,         0.0025,         1.9546,         3.7030,         5.0831,         5.9896,         6.9760,         7.1628,         7.5731,         7.6465,         7.6582
